eventId,eventDate,longitude,latitude,depth,magnitudeType,magnitude,area
563171,"2023-03-15T07:51:46",36.611,38.014,6.98,"ML",3.3,"Göksun (Kahramanmaraş)"
563150,"2023-02-15T22:00:41",36.633,38.068,7.2,"ML",3,"Göksun (Kahramanmaraş)"
563146,"2023-03-15T06:27:07",32.3,34.544,7.78,"ML",3.6,"Akdeniz"
563139,"2023-03-15T05:49:33",37.494,37.984,7.72,"MW",4,"Nurhak (Kahramanmaraş)"
563117,"2023-03-15T04:22:03",37.534,38.019,7,"ML",3,"Nurhak (Kahramanmaraş)"
563116,"2023-03-15T04:27:58",36.787,37.387,7,"ML",3.2,"Türkoğlu (Kahramanmaraş)"
563096,"2023-03-15T03:29:55",36.305,37.138,7,"MW",3.9,"Merkez (Osmaniye)"
563069,"2023-03-15T02:24:32",40.648,39.739,7,"ML",3.1,"Aşkale (Erzurum)"
562998,"2023-03-14T23:03:16",38.435,38.134,8,"ML",3.1,"Sincik (Adıyaman)"
562939,"2023-03-14T20:42:29",36.41,36.642,7,"ML",3.4,"Kırıkhan (Hatay)"
562937,"2023-03-14T20:30:38",36.951,38.058,11.04,"ML",3.1,"Göksun (Kahramanmaraş)"
562923,"2023-03-14T19:40:15",36.331,37.977,9.92,"ML",3,"Göksun (Kahramanmaraş)"
562910,"2023-03-14T19:10:01",37.526,38.404,7,"ML",3.1,"Darende (Malatya)"
562900,"2023-03-14T18:55:16",38.543,38.152,7.12,"MW",3.9,"Battalgazi (Malatya)"
562895,"2023-03-14T18:33:19",36.634,37.844,7.2,"ML",3,"Onikişubat (Kahramanmaraş)"
562879,"2023-03-14T17:00:34",39.451,38.472,7,"ML",3.1,"Maden (Elazığ)"
562858,"2023-03-14T16:35:58",21.818,35.556,4.22,"MW",5.3,"Akdeniz"
562830,"2023-03-14T15:07:30",36.679,37.98,6.99,"ML",3.2,"Onikişubat (Kahramanmaraş)"
562825,"2023-03-14T14:49:47",37.384,37.84,5.34,"MW",4.9,"Çağlayancerit (Kahramanmaraş)"
562755,"2023-03-14T11:57:56",36.193,37.791,6.7,"ML",3.8,"Saimbeyli (Adana)"
562740,"2023-03-14T11:33:23",36.581,38.038,6.96,"ML",3.7,"Göksun (Kahramanmaraş)"
562693,"2023-03-14T09:40:03",38.384,38.074,7.16,"ML",3.1,"Çelikhan (Adıyaman)"
562657,"2023-03-14T08:16:52",38.67,38.182,0.7,"ML",3.4,"Pütürge (Malatya)"
562656,"2023-03-14T08:06:35",38.002,38.072,6.16,"ML",3,"Doğanşehir (Malatya)"
562618,"2023-03-14T06:47:34",36.976,38.135,7,"MW",4.7,"Göksun (Kahramanmaraş)"
562592,"2023-03-14T05:16:59",36.483,36.829,10.63,"ML",3.7,"Hassa (Hatay)"
562589,"2023-03-14T04:46:24",36.478,37.766,7.07,"ML",3.2,"Andırın (Kahramanmaraş)"
562583,"2023-03-14T04:14:14",37.471,38,7.12,"ML",3.3,"Nurhak (Kahramanmaraş)"
562581,"2023-03-14T04:09:01",36.94,37.178,7,"ML",3.1,"Nurdağı (Gaziantep)"
562573,"2023-03-14T02:27:52",38.552,38.139,7.03,"MW",3.9,"Sincik (Adıyaman)"
562534,"2023-03-14T00:25:28",38.354,38.077,7.11,"ML",3.1,"Çelikhan (Adıyaman)"
562512,"2023-03-13T22:34:47",37.856,38.202,7,"ML",3,"Doğanşehir (Malatya)"
562458,"2023-03-13T19:02:02",36.302,37.811,7,"ML",3.4,"Andırın (Kahramanmaraş)"
562433,"2023-03-13T17:37:28",37.701,37.796,16.28,"ML",3.2,"Gölbaşı (Adıyaman)"
562413,"2023-03-13T15:56:58",38.679,38.193,6.17,"MW",3.6,"Pütürge (Malatya)"
562398,"2023-03-13T15:06:20",36.24,36.406,7,"ML",3.7,"Antakya (Hatay)"
562383,"2023-03-13T14:15:39",37.548,38.429,7,"ML",3.1,"Darende (Malatya)"
562361,"2023-03-13T11:59:56",38.493,38.12,11.14,"ML",3,"Sincik (Adıyaman)"
562357,"2023-03-13T12:22:13",36.52,36.907,7,"ML",3.3,"İslahiye (Gaziantep)"
562332,"2023-03-13T10:24:58",36.925,38.057,14.93,"ML",3,"Göksun (Kahramanmaraş)"
562327,"2023-03-13T10:16:55",36.486,37.894,7,"ML",3.3,"Göksun (Kahramanmaraş)"
562300,"2023-03-13T08:23:07",36.258,37.858,7,"ML",3,"Saimbeyli (Adana)"
562294,"2023-03-13T08:42:56",37.465,37.982,12.86,"ML",3.1,"Nurhak (Kahramanmaraş)"
562259,"2023-03-13T02:23:44",38.657,38.174,10.49,"ML",3.5,"Pütürge (Malatya)"
562238,"2023-03-13T06:45:18",36.343,37.887,10.46,"ML",3.2,"Göksun (Kahramanmaraş)"
562229,"2023-03-13T06:17:45",38.686,38.187,7,"ML",3.7,"Pütürge (Malatya)"
562228,"2023-03-13T06:11:59",37.203,37.399,12.65,"ML",3.2,"Pazarcık (Kahramanmaraş)"
562219,"2023-03-13T05:04:01",36.811,40.492,7.32,"ML",3.2,"Merkez (Tokat)"
562196,"2023-03-13T04:11:43",36.255,37.852,8.35,"ML",3.3,"Saimbeyli (Adana)"
562159,"2023-03-13T02:27:19",38.681,38.208,8.04,"ML",3.1,"Pütürge (Malatya)"
562154,"2023-03-13T02:00:46",31.802,40.873,8.37,"ML",3.2,"Merkez (Bolu)"
562151,"2023-03-13T02:23:14",36.505,36.828,11.21,"MW",4.4,"Hassa (Hatay)"
562148,"2023-03-13T02:13:51",38.673,38.186,8.08,"MW",4.5,"Pütürge (Malatya)"
562133,"2023-03-13T01:34:29",38.677,38.189,10.14,"MW",4.7,"Pütürge (Malatya)"
562104,"2023-03-12T23:29:51",37.808,34.975,5.92,"ML",3,"Al-Mukharram, Humus (Suriye) - [174.23 km] Reyhanlı (Hatay)"
562095,"2023-03-12T23:22:50",36.65,37.872,7,"ML",3,"Onikişubat (Kahramanmaraş)"
562082,"2023-03-12T22:09:22",37.843,38.176,4.86,"ML",3,"Doğanşehir (Malatya)"
562080,"2023-03-12T22:41:28",36.643,38.048,7,"MW",3.8,"Göksun (Kahramanmaraş)"
562051,"2023-03-12T21:28:49",36.25,37.883,7.74,"ML",3,"Saimbeyli (Adana)"
562041,"2023-03-12T20:55:11",38.143,38.277,7,"ML",3.5,"Yeşilyurt (Malatya)"
562034,"2023-03-12T20:21:07",37.153,37.518,8.81,"ML",3.3,"Dulkadiroğlu (Kahramanmaraş)"
562026,"2023-03-12T19:41:40",36.491,36.879,10.96,"ML",3.5,"Hassa (Hatay)"
561992,"2023-03-12T17:59:11",36.618,38.105,7,"ML",3.1,"Göksun (Kahramanmaraş)"
561974,"2023-03-12T16:34:44",36.91,38.086,7,"ML",3.2,"Göksun (Kahramanmaraş)"
561973,"2023-03-12T16:38:15",37.073,37.452,8.99,"ML",3.2,"Dulkadiroğlu (Kahramanmaraş)"
561971,"2023-03-12T16:52:31",37.05,38.181,4.08,"ML",3.4,"Elbistan (Kahramanmaraş)"
561950,"2023-03-12T15:30:06",37.042,37.498,9.59,"ML",3.3,"Dulkadiroğlu (Kahramanmaraş)"
561942,"2023-03-12T15:06:23",36.362,37.934,6.01,"ML",3,"Göksun (Kahramanmaraş)"
561929,"2023-03-12T13:54:19",41.2,36.234,4.46,"MW",3.6,"Haseke (Suriye) - [92.54 km] Nusaybin (Mardin)"
